fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,wine_type,quality_category,total_acidity,bound_sulfur_dioxide,sugar_to_alcohol,density_alcohol_ratio,free_sulfur_ratio,acidity_to_pH,wine_type_encoded,quality_category_encoded
7.4,0.6799999999999999,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5,red,medium,8.1,23.0,0.2021061589192639,0.10613764493139029,0.32351989647363316,2.307035032754201,0,2
7.8,0.6799999999999999,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,5,red,medium,8.68,42.0,0.26527905315784106,0.10170390776451382,0.37312875927224964,2.7116526085598247,0,2
7.8,0.6799999999999999,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,5,red,medium,8.56,39.0,0.2346699316396286,0.10172431384552597,0.2777726338401141,2.6249616681999393,0,2
9.65,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,6,red,medium,10.165,43.0,0.19385776961534537,0.10182634425058668,0.2833286111898135,3.287437887356215,0,2
7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,5,red,medium,8.06,27.0,0.1914689926603553,0.10613764493139029,0.32499187520311995,2.2956422671603534,0,2
7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,5,red,medium,8.5,44.0,0.17019466014253803,0.10598872460376556,0.2542329791020491,2.5749772796122388,0,2
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,7,red,high,7.95,6.0,0.11998800119988001,0.09945005499450056,0.5736533145840597,2.34444116779711,0,0
7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,7,red,high,8.379999999999999,9.0,0.2105041574571098,0.10491527207662352,0.49997222376534634,2.4933055638202917,0,0
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,5,red,medium,8.0,85.0,0.5808970574231026,0.09501952195029045,0.1666650326957579,2.3873470605789318,0,2
6.7,0.58,0.08,1.8,0.097,15.0,65.0,0.9959,3.28,0.54,9.2,5,red,medium,7.28,50.0,0.19563090968373006,0.10823823497445931,0.23076568052799187,2.2188357208168243,0,2
5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,5,red,medium,6.215,43.0,0.16159983840016162,0.10042419957580043,0.27118184437551907,1.7355487294051941,0,2
